cohort,block,model,mode,roc_auc,pr_auc,brier,precision,recall,specificity,f1,f2,thr,thr_policy,repeat,fold
antepartum,FULL,Ensemble_SoftVote_Uniform,ensemble,0.8056285014005603,0.520419326384626,0.12665647841368147,0.23469387755102042,0.9583333333333334,0.3697478991596639,0.3770491803278688,0.5927835051546392,0.13,recall+precision,1,5
antepartum,FULL,Ensemble_SoftVote_Weighted,ensemble,0.8053658963585435,0.5191075468898995,0.1266244761373494,0.23469387755102042,0.9583333333333334,0.3697478991596639,0.3770491803278688,0.5927835051546392,0.13,recall+precision,1,5
antepartum,FULL,LR,resampled,0.8053333333333333,0.43479876682674345,0.10280901547177099,0.1446280991735537,0.9722222222222222,0.172,0.2517985611510791,0.4533678756476684,0.14,recall+precision,1,1
antepartum,FULL,LR,resampled,0.7810856498873028,0.4147134546065873,0.12280909892567946,0.24183006535947713,0.8409090909090909,0.5206611570247934,0.3756345177664975,0.5623100303951368,0.13,recall+precision,1,2
antepartum,FULL,LR,resampled,0.8110779131234198,0.5360415480359961,0.14322433089689068,0.29545454545454547,0.9122807017543859,0.4585152838427948,0.44635193133047213,0.6435643564356436,0.12,recall+precision,1,3
antepartum,FULL,LR,resampled,0.783862912253509,0.4869782134757177,0.13265664076662242,0.25136612021857924,0.9387755102040817,0.4219409282700422,0.39655172413793105,0.6068601583113457,0.13,recall+precision,1,4
antepartum,FULL,LR,resampled,0.8324142156862745,0.5311884232693165,0.12783535280460265,0.20434782608695654,0.9791666666666666,0.23109243697478993,0.3381294964028777,0.556872037914692,0.13,recall+precision,1,5
antepartum,FULL,SVM,weighted,0.785111111111111,0.41533295257686287,0.09851187242914124,0.15246636771300448,0.9444444444444444,0.244,0.2625482625482625,0.46321525885558584,0.13,recall+precision,1,1
antepartum,FULL,SVM,weighted,0.7615514650638617,0.3846937140912964,0.11881682436683992,0.24817518248175183,0.7727272727272727,0.5743801652892562,0.3756906077348066,0.5431309904153354,0.11,recall+precision,1,2
antepartum,FULL,SVM,weighted,0.7969049260706351,0.5103494929656432,0.1448237030909673,0.2826086956521739,0.9122807017543859,0.42358078602620086,0.4315352697095436,0.6310679611650486,0.11,recall+precision,1,3
antepartum,FULL,SVM,weighted,0.7656075088263152,0.4396357146289448,0.12711208629632662,0.23497267759562843,0.8775510204081632,0.4092827004219409,0.3706896551724138,0.5672823218997362,0.11,recall+precision,1,4
antepartum,FULL,SVM,weighted,0.8151260504201681,0.4441330447460649,0.12135031597733764,0.2545454545454545,0.875,0.4831932773109244,0.39436619718309857,0.5882352941176471,0.12,recall+precision,1,5
antepartum,FULL,SVM,resampled,0.752,0.33709314439343924,0.10371835727235203,0.13138686131386862,1.0,0.048,0.23225806451612904,0.430622009569378,0.08,recall+precision,1,1
antepartum,FULL,SVM,resampled,0.7699098422238918,0.3801908995842302,0.11585702273015455,0.2535211267605634,0.8181818181818182,0.5619834710743802,0.3870967741935484,0.5660377358490566,0.09999999999999999,recall+precision,1,2
antepartum,FULL,SVM,resampled,0.7872519727265762,0.42895879295652245,0.14226453630658345,0.26732673267326734,0.9473684210526315,0.3537117903930131,0.416988416988417,0.627906976744186,0.08,recall+precision,1,3
antepartum,FULL,SVM,resampled,0.7649186256781194,0.4209231708330452,0.12495823122427586,0.21296296296296297,0.9387755102040817,0.28270042194092826,0.3471698113207547,0.558252427184466,0.08,recall+precision,1,4
antepartum,FULL,SVM,resampled,0.7986694677871148,0.43131362958165764,0.11912215533992931,0.2102803738317757,0.9375,0.28991596638655465,0.3435114503816794,0.5541871921182266,0.08,recall+precision,1,5
antepartum,FULL,RF,weighted,0.7866666666666666,0.4659019004930488,0.09826921781876885,0.1583710407239819,0.9722222222222222,0.256,0.2723735408560311,0.4794520547945205,0.12,recall+precision,1,1
antepartum,FULL,RF,weighted,0.7645567242674681,0.4112612083692826,0.1188221446241208,0.25,0.7727272727272727,0.5785123966942148,0.37777777777777777,0.5448717948717948,0.12,recall+precision,1,2
antepartum,FULL,RF,weighted,0.7990500268137593,0.5212484770206423,0.14088312716040824,0.27461139896373055,0.9298245614035088,0.388646288209607,0.424,0.6294536817102138,0.09999999999999999,recall+precision,1,3
antepartum,FULL,RF,weighted,0.7730991130629467,0.47580586359431193,0.1272593323856334,0.21634615384615385,0.9183673469387755,0.31223628691983124,0.35019455252918286,0.556930693069307,0.09999999999999999,recall+precision,1,4
antepartum,FULL,RF,weighted,0.7919730392156863,0.4794274905208477,0.12355606910111204,0.24193548387096775,0.9375,0.40756302521008403,0.38461538461538464,0.5952380952380952,0.12,recall+precision,1,5
antepartum,FULL,RF,resampled,0.7743333333333333,0.39761140351045576,0.10029404550295225,0.145748987854251,1.0,0.156,0.254416961130742,0.46035805626598464,0.09999999999999999,recall+precision,1,1
antepartum,FULL,RF,resampled,0.7511269722013524,0.39804574876779536,0.11935397831495008,0.2331288343558282,0.8636363636363636,0.4834710743801653,0.3671497584541063,0.56047197640118,0.11,recall+precision,1,2
antepartum,FULL,RF,resampled,0.7729257641921397,0.4669774347433632,0.1443420369496928,0.27717391304347827,0.8947368421052632,0.4192139737991266,0.42323651452282157,0.6189320388349514,0.09999999999999999,recall+precision,1,3
antepartum,FULL,RF,resampled,0.7739602169981916,0.44554920141158266,0.12722583875410218,0.23529411764705882,0.8979591836734694,0.39662447257383965,0.3728813559322034,0.5744125326370757,0.11,recall+precision,1,4
antepartum,FULL,RF,resampled,0.7841824229691876,0.45762805633099535,0.12353364743436408,0.2857142857142857,0.7916666666666666,0.6008403361344538,0.4198895027624309,0.5846153846153846,0.14,fallback_f2.0,1,5
antepartum,FULL,XGB,weighted,0.7702222222222223,0.4155083199847644,0.09979898720307444,0.14516129032258066,1.0,0.152,0.2535211267605634,0.45918367346938777,0.08,recall+precision,1,1
antepartum,FULL,XGB,weighted,0.7573253193087903,0.3851911189978578,0.11530819212138729,0.27522935779816515,0.6818181818181818,0.6735537190082644,0.39215686274509803,0.5263157894736842,0.13,fallback_f2.0,1,2
antepartum,FULL,XGB,weighted,0.7785183482724278,0.5243201030939572,0.13657854414143322,0.25870646766169153,0.9122807017543859,0.34934497816593885,0.40310077519379844,0.6060606060606061,0.08,recall+precision,1,3
